Loan_ID,Age,Gender,Married,Dependents,Education,Self_Employed,Letter_support_Kebele,ApplicantIncome,CoapplicantIncome,Saving_Amount,Saving_time,Estmation_salary_or_property,Guarantors_marital_status,LoanAmount,Loan_Amount_Term,Credit_History, letter_free_debt ,Property_Area,Loan_Status
634097,40,M,yes ,0,notgraduate,yes,no,4700,5600,3000,twomonth,100000,yes ,30000,2,1,no,Rural,no
627349,43,M,yes ,1,notgraduate,yes,yes,3000,2900,3000,twomonth,100000,yes ,30000,1,0,yes,Rural,yes
632957,38,M,yes ,0,notgraduate,yes,yes,8000,2600,3000,twomonth,100000,yes ,30000,2,1,no,Rural,no
641082,41,M,yes ,2,notgraduate,yes,yes,3600,3000,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
635180,42,M,yes ,0,notgraduate,yes,yes,3900,3600,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,yes
627061,38,M,yes ,2,notgraduate,yes,no,2900,4000,0,twomonth,100000,yes ,30000,2,1,no,Rural,no
170586,35,M,yes ,0,notgraduate,yes,no,5000,4200,0,twomonth,0,no,0,1,1,yes,Rural,no
713746,42,M,yes ,3,notgraduate,yes,yes,6700,1900,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
175686,41,M,yes ,2,notgraduate,yes,yes,3400,6000,3000,twomonth,100000,yes ,30000,3,1,yes,Rural,yes
457268,46,M,yes ,1,notgraduate,yes,yes,6700,2400,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,yes
507167,38,M,no,2,notgraduate,yes,no,3800,3500,0,twomonth,0,yes ,0,2,1,no,Rural,no
652954,64,M,yes ,2,notgraduate,yes,no,2900,5000,3000,twomonth,100000,no,30000,1,1,no,Rural,no
435430,40,M,yes ,2,notgraduate,yes,yes,3994,6000,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,yes
682448,70,M,yes ,0,notgraduate,no,yes,1791,3000,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,no
1559145,38,M,yes ,2,notgraduate,yes,no,2245,1800,3000,twomonth,100000,yes ,30000,2,1,no,Rural,no
311521,41,M,yes ,0,notgraduate,yes,yes,4081,5600,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,yes
388055,59,M,yes ,1,notgraduate,yes,no,3000,5200,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,no
718396,38,F,yes ,0,notgraduate,yes,yes,4609,4600,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,yes
470350,35,M,yes ,0,notgraduate,yes,yes,4600,2900,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,yes
1599472,42,M,yes ,0,notgraduate,yes,yes,0,4567,0,twomonth,100000,yes ,0,1,1,yes,Rural,no
641490,41,M,yes ,0,notgraduate,yes,yes,7600,5358,3000,twomonth,100000,yes ,30000,1,1,yes,Rural,yes
642754,46,M,yes ,1,notgraduate,yes,yes,1200,5133,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
633022,38,M,yes ,0,notgraduate,yes,yes,1400,4180,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
755147,44,M,yes ,2,notgraduate,yes,yes,2500,7170,3000,twomonth,100000,yes ,30000,2,1,yes,Rural,yes
